Label,Name of the class,Assignment,Link to follow(1),Link to follow (2),Skills_involved,Difficulty,Format
Grammaire,C'est / Il est,"Read (and understand ;)) the lesson, and make the exercise to complete with ""he is / she is / it is"".",https://www.podcastfrancaisfacile.com/grammaire/c-est-un-il-est-lecon-facile.html,,"Writing, reading",Low,Solo
Vocabulaire,Parler de ses goûts ,"In pair, have a dialogue about what you like and what you dislike, using the vocabulary!",https://www.podcastfrancaisfacile.com/dialogue/mini-dialogues-3-aimer-detester.html,,"Speaking, reading",Medium,Duo
Grammaire,A condition que / de ,Read the lesson and make the exercise below it.,https://www.podcastfrancaisfacile.com/grammaire/la-condition-en-francais-si-a-condition-de.html,,"Writing, reading",Low,Solo
Dialogue,Conversation sur la nourriture,"In duo, have a conversation based on a series of questions on the theme of food, using the questions provided in the website! 
",https://www.podcastfrancaisfacile.com/communication/25-questions-sur-la-nourriture.html,,"Speaking, reading",Medium,Duo
Dialogue,Conversation sur la liberté,"In duo, have a conversation based on a series of questions on the theme of liberty, using the questions provided in the website! 
",https://www.podcastfrancaisfacile.com/communication/25-questions-sur-la-liberte.html,,"Speaking, reading",Medium,Duo
Dialogue,Conversation sur les langues,"In duo, have a conversation based on a series of questions on the theme of languages, using the questions provided in the website! 
",https://www.podcastfrancaisfacile.com/communication/25-questions-sur-lapprentissage-des-langues.html,,"Speaking, reading",Medium,Duo
Lecture,La ville de Tours,Read the text and answer the following questions: 1) Does it seem like a nice city? 2) What attracts you the most? 3) What did you dislike the most? 4) What's your favourite city and why? ,https://www.podcastfrancaisfacile.com/texte/tours.html,,"Writing, reading",Medium,Solo
Lecture,Femmes politiques,,https://www.podcastfrancaisfacile.com/texte/femmes-politiques.html,,Reading,High,Solo
Grammaire,Les adjectifs possessifs,Read the table and learn it,https://www.podcastfrancaisfacile.com/cours/tableau-adjectifs-possessifs.html,https://www.francaisavecpierre.com/adjectifs-possessifs-en-francais/,Reading,Low,Solo
Grammaire,Articles définis et indéfinis,Watch the video and do the small exercise,https://www.podcastfrancaisfacile.com/phonetique-2/articles-definis-et-indefinis-exercices.html,https://www.francaisavecpierre.com/les-articles-en-francais/,"Listening, writing",Medium,Solo
Phonétique,Forme interrogative,"Check the document, and listen and indicate whether the voice goes up or down in the exercise.

",https://www.podcastfrancaisfacile.com/phonetique-2/forme-interrogative-intonation-2.html,,"Reading, listening",Low,Solo
Phonétique,Les sons en français,"Watch the video about the different sounds that you may find in the French language, and train yourself to pronounce them!",https://www.podcastfrancaisfacile.com/phonetique-2/tableau-des-sons-du-francais.html,,"Speaking, listening",Low,Solo
Vocabulaire,La quantité,Listen and repeat the vocabulary!,https://www.podcastfrancaisfacile.com/vocabulaire/quantite.html,,"Speaking, listening",Medium,Solo
Nombres,Compter jusqu'à 100,Learn to count in French from 0 (zero) to 100 (hundred) per step with the help of the video,https://www.podcastfrancaisfacile.com/nombre/nombres_francais_compter-de-zero-a-100_les_nombres_en_francais_facile_apprendre_a_compter.html,https://www.podcastfrancaisfacile.com/nombre/chiffres_1_20.html,"Speaking, reading",Medium,Solo
Culture générale,Pratiques culturelles en France,Watch the video and do the small exercise answering to the questions in the drop-down!,https://www.podcastfrancaisfacile.com/texte/pratiques-sportives-et-activites-culturelles-en-france.html,,"Writing, reading",Medium,Solo
Culture générale,Les animés français,Read the text and discuss about it among peers,https://www.podcastfrancaisfacile.com/texte/anime-francais.html,,"Writing, reading",High,Solo
Coutumes,Tutoiement et vouvoiement,Read the text and answer the questions below,https://www.podcastfrancaisfacile.com/communication/vouvoiement-tutoiement.html,,Reading,Low,Solo
Coutumes,Les bonnes manières,Read the text and answer the questions below,https://www.podcastfrancaisfacile.com/texte/les-bonnes-manieres.html,,Reading,Medium,Solo
Culture générale,La population française,Read the text and answer the questions below,https://www.podcastfrancaisfacile.com/texte/chiffres-insee.html,,Reading,High,Solo
Culture générale,Le macaron,Read the text and answer the questions below,https://www.podcastfrancaisfacile.com/texte/le-macaron-texte-en-francais-facile.html,,Reading,High,Solo
Traduction,Recette des crêpes,"Read the recipe, and answer to the questions below!",https://www.podcastfrancaisfacile.com/divers/recette/recette-des-crepes.html,https://www.francaisavecpierre.com/apprendre-le-francais-en-cuisinant-les-crepes/,Reading,Medium,Solo
Cinéma,Parler de séries,"Read the text, answer the questions, the true/false, and learn the vocab!",https://www.podcastfrancaisfacile.com/texte/texte-fle-questions.html,,Reading,Medium,Solo
Vocabulaire,Les faux amis,Read the lesson and make yourself a note about every false friend in French!,https://www.podcastfrancaisfacile.com/vocabulaire/faux_amis.html,,"Writing, reading",Medium,Solo
Vocabulaire,Le Tour de France,That's an understanding exercise: listen to the audio and make the exercise!,https://www.podcastfrancaisfacile.com/texte/le-tour-de-france.html,,"Listening, writing",Medium,Solo
Vocabulaire,Le 14 juillet,"Read the text, answer the questions and learn the vocab!",https://www.podcastfrancaisfacile.com/texte/14-juillet-texte-fle.html,,"Writing, reading",Medium,Solo
Vocabulaire,Fruits et légumes,Read the lesson and make yourself a note about the vocabulary in French!,https://www.francaisavecpierre.com/jus-fruits-legumes-expressions-idiomatiques/,,"Writing, reading",Low,Solo
Idiomatique,Comment tu vas ? ,Read the lesson and make yourself a note about the vocabulary in French!,https://www.francaisavecpierre.com/comment-ca-va/,,"Writing, reading",Low,Solo
Vocabulaire,Conversation téléphonique,Read the lesson and make yourself a note about the vocabulary in French!,https://www.francaisavecpierre.com/conversations-telephoniques-en-francais/,,"Writing, reading",Low,Solo
Grammaire,Prépositions,Watch the video about prépositions and make yourself some notes that you can practice in further exercises,https://www.francaisavecpierre.com/prepositions-en-francais/,https://www.francaisavecpierre.com/erreurs-de-prepositions-en-francais/,"Listening, writing",Low,Solo
Adverbes,100 adverbes,Watch the video about adverbs and make yourself some notes that you can practice in further exercises,https://www.francaisavecpierre.com/les-100-adverbes-francais-les-plus-utilises/,,"Writing, listening",Low,Solo
Négation,La négation,Watch the video and make yourself some notes that you can practice in further exercises,https://www.francaisavecpierre.com/la-negation-en-francais/,https://www.podcastfrancaisfacile.com/exercices/forme-negative.html,"Writing, listening",Low,Solo
Grammaire,"Bien que, malgré que...",Watch the video and make yourself some notes that you can practice in further exercises,https://www.francaisavecpierre.com/grammaire-francaise-bien-que-malgre-et-malgre-que/,,"Writing, listening",Medium,Solo
Vocabulaire,Les contraires,Watch the video and make yourself some notes that you can practice in further exercises,https://www.francaisavecpierre.com/avant-apres-devant-derriere/,,"Speaking, listening",Low,Solo
Grammaire,La cause,Watch the video and make yourself some notes that you can practice in further exercises,https://www.francaisavecpierre.com/expression-de-la-cause-car-parce-que-puisque/,,"Writing, listening",Medium,Solo
Vocabulaire,Drapeaux et couleurs,Read the lesson and make yourself a note about the vocabulary in French!,https://www.podcastfrancaisfacile.com/podcast/drapeaux-et-couleurs.html,,"Writing, reading",Low,Solo
